,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
0,0,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/108079123?plId=483854&plt=2,2019_11_20,10800000.0,3.0,2.0,2.0,595.0,,,3 Bedroom House in Camps Bay,Camps Bay
1,1,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/107904963?plId=487673&plt=3,2019_11_20,5100000.0,2.0,1.0,1.0,,,,2 Bedroom Townhouse in Camps Bay,Camps Bay
2,2,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/107887186?plId=484999&plt=3,2019_11_20,57000000.0,5.0,7.0,,1435.0,,,5 Bedroom House in Camps Bay,Camps Bay
3,3,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/108161693?plId=483966&plt=3,2019_11_20,9900000.0,5.0,3.0,,402.0,,,5 Bedroom House in Camps Bay,Camps Bay
4,4,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/107685583?plId=483969&plt=3,2019_11_20,9995000.0,2.0,2.5,,,144.0,,2 Bedroom Apartment in Camps Bay,Camps Bay
5,5,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/107555152?plId=483076&plt=3,2019_11_20,13950000.0,4.0,3.0,2.0,932.0,,,4 Bedroom House in Camps Bay,Camps Bay
6,6,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/108072636?plId=486942&plt=2,2019_11_20,15000000.0,4.0,3.5,2.0,982.0,,,4 Bedroom House in Camps Bay,Camps Bay
7,7,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/106066578?plId=483855&plt=2,2019_11_20,13750000.0,4.0,3.0,2.0,240.0,,,4 Bedroom Townhouse in Camps Bay,Camps Bay
8,8,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/108072636?plId=486942&plt=2,2019_11_20,15000000.0,4.0,3.5,2.0,982.0,,,4 Bedroom House in Camps Bay,Camps Bay
9,9,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/108079123?plId=483854&plt=2,2019_11_20,10800000.0,3.0,2.0,2.0,595.0,,,3 Bedroom House in Camps Bay,Camps Bay
10,10,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/106066578?plId=483855&plt=2,2019_11_20,13750000.0,4.0,3.0,2.0,240.0,,,4 Bedroom Townhouse in Camps Bay,Camps Bay
