,link,address,bedrooms,bathrooms,garages,erf size,price,date,description,location,id,floor size
0,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/108192427?plId=487043&plt=2,,3.0,3.0,2.0,250.0,8500000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,0,
1,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/107702599?plId=487301&plt=3,,3.0,2.5,2.0,495.0,7950000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,1,
2,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/107103467?plId=487221&plt=3,,4.0,3.0,2.0,495.0,8700000.0,2019_11_19,4 Bedroom House in Claremont Upper,Claremont Upper,2,
3,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/107907634?plId=479093&plt=3,,3.0,2.0,1.0,412.0,4450000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,3,
4,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/108103505?plId=479092&plt=3,,3.0,2.5,2.0,495.0,7950000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,4,
5,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/108079782?plId=485975&plt=3,,3.0,2.0,1.0,,3695000.0,2019_11_19,3 Bedroom Apartment in Claremont Upper,Claremont Upper,5,98.0
6,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/108127160?plId=483584&plt=3,,3.0,2.5,2.0,,4600000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,6,147.0
7,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/107945095?plId=485702&plt=3,,4.0,3.5,2.0,1104.0,15750000.0,2019_11_19,4 Bedroom Townhouse in Claremont Upper,Claremont Upper,7,
8,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/107692664?plId=483667&plt=3,,3.0,2.0,1.0,397.0,5500000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,8,
9,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/108143805?plId=483596&plt=3,,3.0,2.0,2.0,475.0,7950000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,9,
10,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/107865093?plId=483584&plt=3,,3.0,2.5,2.0,,4600000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,10,147.0
11,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/108092030?plId=486314&plt=2,,5.0,2.0,2.0,1309.0,7500000.0,2019_11_19,5 Bedroom House in Claremont Upper,Claremont Upper,11,
12,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/108192427?plId=487043&plt=2,,3.0,3.0,2.0,250.0,8500000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,12,
13,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/107728905?plId=485136&plt=2,,3.0,3.0,2.0,488.0,5950000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,13,
14,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/108092030?plId=486314&plt=2,,5.0,2.0,2.0,1309.0,7500000.0,2019_11_19,5 Bedroom House in Claremont Upper,Claremont Upper,14,
15,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/108165171?plId=486289&plt=2,,4.0,3.5,2.0,488.0,5950000.0,2019_11_19,4 Bedroom House in Claremont Upper,Claremont Upper,15,
16,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/107923472?plId=486885&plt=2,,3.0,2.5,2.0,,2995000.0,2019_11_19,3 Bedroom Apartment in Claremont Upper,Claremont Upper,16,122.0
17,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/107728905?plId=485136&plt=2,,3.0,3.0,2.0,488.0,5950000.0,2019_11_19,3 Bedroom House in Claremont Upper,Claremont Upper,17,
