,link,address,bedrooms,bathrooms,garages,erf size,price,date,description,location,id,floor size,gross lettable area
0,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108133004?plId=486300&plt=2,,3.0,1.5,1.0,513.0,3495000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,0,,
1,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108054112?plId=487493&plt=3,,2.0,2.0,,307.0,2495000.0,2019_11_19,2 Bedroom House in Claremont,Claremont,1,,
2,https://www.property24.com/for-sale/harfield-village/cape-town/western-cape/8666/107991643?plId=487492&plt=3,,2.0,2.0,,149.0,2350000.0,2019_11_19,2 Bedroom House in Harfield Village,Harfield Village,2,,
3,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/106988592?plId=486938&plt=3,,4.0,3.0,1.0,441.0,3495000.0,2019_11_19,4 Bedroom House in Claremont,Claremont,3,,
4,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/107194095?plId=486937&plt=3,,3.0,2.0,2.0,496.0,4250000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,4,,
5,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108037338?plId=486815&plt=3,,2.0,1.5,,,1775000.0,2019_11_19,2 Bedroom Apartment in Claremont,Claremont,5,93.0,
6,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108173351?plId=485653&plt=3,,4.0,2.0,,396.0,3995000.0,2019_11_19,4 Bedroom House in Claremont,Claremont,6,,
7,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/107896187?plId=485301&plt=3,,3.0,1.0,,391.0,3395000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,7,,
8,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108113557?plId=485300&plt=3,,3.0,3.0,2.0,529.0,4650000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,8,,
9,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108032325?plId=485150&plt=3,,2.0,2.0,1.0,328.0,2850000.0,2019_11_19,2 Bedroom House in Claremont,Claremont,9,,
10,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108168820?plId=484867&plt=3,,5.0,2.0,,632.0,4850000.0,2019_11_19,5 Bedroom House in Claremont,Claremont,10,,
11,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108165596?plId=484581&plt=3,,3.0,2.0,,784.0,4995000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,11,,
12,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108083951?plId=484585&plt=3,,2.0,2.0,1.0,178.0,3495000.0,2019_11_19,2 Bedroom House in Claremont,Claremont,12,,
13,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108008455?plId=484584&plt=3,,3.0,2.0,,301.0,3795000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,13,,
14,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/107567583?plId=484582&plt=3,,4.0,2.0,2.0,446.0,3250000.0,2019_11_19,4 Bedroom House in Claremont,Claremont,14,,
15,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/107960568?plId=484416&plt=3,,2.0,1.0,,,1495000.0,2019_11_19,2 Bedroom Apartment in Claremont,Claremont,15,84.0,
16,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108163250?plId=483913&plt=3,,,,,,4200000.0,2019_11_19,Commercial Property in Claremont,Claremont,16,,180 m²
17,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/107859075?plId=483652&plt=3,,2.0,2.0,2.0,,1995000.0,2019_11_19,2 Bedroom Apartment in Claremont,Claremont,17,81.0,
18,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/107892398?plId=483215&plt=3,,3.0,1.0,1.0,436.0,3580000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,18,,
19,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108145808?plId=483009&plt=3,,3.0,2.0,,477.0,3995000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,19,,
20,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108146929?plId=483165&plt=3,,2.0,1.0,1.0,215.0,2495000.0,2019_11_19,2 Bedroom House in Claremont,Claremont,20,,
21,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108079640?plId=483009&plt=3,,3.0,2.0,,477.0,3995000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,21,,
22,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108167066?plId=484636&plt=2,,3.0,2.0,,335.0,3650000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,22,,
23,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/107587582?plId=483011&plt=3,,4.0,3.0,2.0,477.0,3495000.0,2019_11_19,4 Bedroom House in Claremont,Claremont,23,,
24,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/108167066?plId=484636&plt=2,,3.0,2.0,,335.0,3650000.0,2019_11_19,3 Bedroom House in Claremont,Claremont,24,,
25,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/107570489?plId=485303&plt=2,,4.0,2.0,2.0,574.0,4250000.0,2019_11_19,4 Bedroom House in Claremont,Claremont,25,,
