,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
0,0,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107925136?plId=482818&plt=2,2019_11_20,13250000.0,3.0,4.0,2.0,659.0,,,3 Bedroom House in Constantia,Constantia
1,1,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107920085?plId=487688&plt=3,2019_11_20,10000000.0,3.0,2.0,2.0,2676.0,,,3 Bedroom House in Constantia,Constantia
2,2,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108191544?plId=487685&plt=3,2019_11_20,11750000.0,4.0,3.0,2.0,2301.0,,,4 Bedroom House in Constantia,Constantia
3,3,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107356980?plId=487686&plt=3,2019_11_20,15500000.0,5.0,5.5,2.0,2221.0,,,5 Bedroom House in Constantia,Constantia
4,4,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107964276?plId=487687&plt=3,2019_11_20,12495000.0,4.0,2.0,2.0,1817.0,,,4 Bedroom House in Constantia,Constantia
5,5,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107850893?plId=487021&plt=3,2019_11_20,37000000.0,6.0,6.5,3.0,1748.0,,,6 Bedroom House in Constantia,Constantia
6,6,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108062824?plId=487022&plt=3,2019_11_20,13500000.0,7.0,4.5,2.0,4259.0,,,7 Bedroom House in Constantia,Constantia
7,7,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107867887?plId=487024&plt=3,2019_11_20,49000000.0,5.0,5.5,7.0,9042.0,,,5 Bedroom House in Constantia,Constantia
8,8,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107982053?plId=486427&plt=3,2019_11_20,8500000.0,4.0,4.5,2.0,2220.0,,,4 Bedroom House in Constantia,Constantia
9,9,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107531723?plId=486431&plt=3,2019_11_20,14995000.0,4.0,3.5,3.0,4164.0,,,4 Bedroom House in Constantia,Constantia
10,10,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107282701?plId=486434&plt=3,2019_11_20,25000000.0,6.0,6.5,,2943.0,,,6 Bedroom House in Constantia,Constantia
11,11,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107213051?plId=486439&plt=3,2019_11_20,38000000.0,5.0,5.0,8.0,3796.0,,,5 Bedroom House in Constantia,Constantia
12,12,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108109167?plId=486438&plt=3,2019_11_20,15995000.0,5.0,4.5,3.0,,,,5 Bedroom House in Constantia,Constantia
13,13,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107805486?plId=486440&plt=3,2019_11_20,12950000.0,4.0,4.5,2.0,,,,4 Bedroom House in Constantia,Constantia
14,14,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107819407?plId=486441&plt=3,2019_11_20,12500000.0,4.0,3.0,2.0,,,,4 Bedroom House in Constantia,Constantia
