,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
0,0,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/107036279?plId=483824&plt=2,2019_11_20,9000000.0,3.0,3.5,2.0,511.0,,,3 Bedroom House in Green Point,Green Point
1,1,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108190114?plId=486749&plt=3,2019_11_20,4999995.0,2.0,2.5,2.0,,132.0,,2 Bedroom Apartment in Green Point,Green Point
2,2,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108121852?plId=486623&plt=3,2019_11_20,5295000.0,2.0,2.5,2.0,,181.0,,2 Bedroom Apartment in Green Point,Green Point
3,3,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108101569?plId=486579&plt=3,2019_11_20,4600000.0,2.0,1.0,,,89.0,,2 Bedroom Apartment in Green Point,Green Point
4,4,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108158238?plId=484590&plt=3,2019_11_20,4300000.0,2.0,2.0,,,106.0,,2 Bedroom Apartment in Green Point,Green Point
5,5,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/107900529?plId=484165&plt=3,2019_11_20,3350000.0,2.0,2.0,,,77.0,,2 Bedroom Apartment in Green Point,Green Point
6,6,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108125956?plId=483780&plt=3,2019_11_20,11950000.0,3.0,3.5,3.0,545.0,,,3 Bedroom House in Green Point,Green Point
7,7,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/106967302?plId=483852&plt=3,2019_11_20,5395000.0,2.0,2.0,,,142.0,,2 Bedroom Apartment in Green Point,Green Point
8,8,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108146105?plId=483131&plt=3,2019_11_20,6950000.0,3.0,3.5,,235.0,,,3 Bedroom House in Green Point,Green Point
9,9,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108156166?plId=483117&plt=3,2019_11_20,1895000.0,0.5,1.0,1.0,,50.0,,0.5 Bedroom Apartment in Green Point,Green Point
10,10,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/107036279?plId=483824&plt=2,2019_11_20,9000000.0,3.0,3.5,2.0,511.0,,,3 Bedroom House in Green Point,Green Point
11,11,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/104642391?plId=484784&plt=2,2019_11_20,4090000.0,2.0,1.0,,110.0,,,2 Bedroom House in Green Point,Green Point
12,12,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/107036279?plId=483824&plt=2,2019_11_20,9000000.0,3.0,3.5,2.0,511.0,,,3 Bedroom House in Green Point,Green Point
13,13,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/107894084?plId=484781&plt=2,2019_11_20,8500000.0,3.0,3.5,2.0,356.0,,,3 Bedroom House in Green Point,Green Point
