,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
0,0,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/107508994?plId=485142&plt=2,2019_11_20,6950000.0,3.0,4.0,2.0,238.0,,,3 Bedroom House in Newlands,Newlands
1,1,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108061180?plId=483791&plt=3,2019_11_20,7795000.0,4.0,3.5,2.0,,295.0,,4 Bedroom House in Newlands,Newlands
2,2,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108108415?plId=483779&plt=3,2019_11_20,3800000.0,3.0,1.5,,108.0,,,3 Bedroom House in Newlands,Newlands
3,3,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/107391654?plId=486031&plt=3,2019_11_20,6950000.0,3.0,2.0,1.0,215.0,,,3 Bedroom House in Newlands,Newlands
4,4,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108059277?plId=485977&plt=3,2019_11_20,4450000.0,3.0,2.0,2.0,,160.0,,3 Bedroom Apartment in Newlands,Newlands
5,5,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108159720?plId=485612&plt=3,2019_11_20,3395000.0,3.0,1.0,1.0,,126.0,,3 Bedroom Apartment in Newlands,Newlands
6,6,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/107952861?plId=485611&plt=3,2019_11_20,2995000.0,2.0,1.0,1.0,,127.0,,2 Bedroom Townhouse in Newlands,Newlands
7,7,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108149111?plId=484942&plt=3,2019_11_20,4500000.0,5.0,3.0,,670.0,,,5 Bedroom House in Newlands,Newlands
8,8,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/107642770?plId=484852&plt=3,2019_11_20,5750000.0,4.0,3.0,3.0,495.0,,,4 Bedroom House in Newlands,Newlands
9,9,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/107642692?plId=484854&plt=3,2019_11_20,6900000.0,4.0,4.0,2.0,857.0,,,4 Bedroom House in Newlands,Newlands
10,10,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/107520365?plId=484856&plt=3,2019_11_20,5900000.0,3.0,2.0,,326.0,,,3 Bedroom House in Newlands,Newlands
11,11,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108125142?plId=484726&plt=3,2019_11_20,17750000.0,4.0,4.0,2.0,776.0,,,4 Bedroom House in Newlands,Newlands
12,12,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108042747?plId=484720&plt=3,2019_11_20,7195000.0,4.0,3.0,1.0,433.0,,,4 Bedroom House in Newlands,Newlands
13,13,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108073908?plId=482984&plt=3,2019_11_20,6250000.0,4.0,3.0,3.0,624.0,,,4 Bedroom House in Newlands,Newlands
14,14,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108189159?plId=483791&plt=3,2019_11_20,7795000.0,4.0,3.5,2.0,,295.0,,4 Bedroom House in Newlands,Newlands
15,15,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/107508994?plId=485142&plt=2,2019_11_20,6950000.0,3.0,4.0,2.0,238.0,,,3 Bedroom House in Newlands,Newlands
16,16,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108029896?plId=487308&plt=2,2019_11_20,6500000.0,3.0,3.0,2.0,786.0,,,3 Bedroom House in Newlands,Newlands
17,17,https://www.property24.com/for-sale/newlands/cape-town/western-cape/8679/108029896?plId=487308&plt=2,2019_11_20,6500000.0,3.0,3.0,2.0,786.0,,,3 Bedroom House in Newlands,Newlands
