,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
0,0,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107925358?plId=487049&plt=2,2019_11_20,4600000.0,4.0,2.5,2.0,406.0,,,4 Bedroom House in Rondebosch,Rondebosch
1,1,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/106816795?plId=487255&plt=3,2019_11_20,3600000.0,2.0,2.0,1.0,,170.0,,2 Bedroom Apartment in Rondebosch,Rondebosch
2,2,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107407059?plId=486870&plt=3,2019_11_20,7250000.0,3.0,3.0,2.0,,200.0,,3 Bedroom House in Rondebosch,Rondebosch
3,3,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108038638?plId=486050&plt=3,2019_11_20,2300000.0,2.0,1.0,1.0,,,,2 Bedroom Apartment in Rondebosch,Rondebosch
4,4,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107903803?plId=486051&plt=3,2019_11_20,2300000.0,3.0,1.0,1.0,,,,3 Bedroom Apartment in Rondebosch,Rondebosch
5,5,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108167304?plId=485525&plt=3,2019_11_20,10750000.0,4.0,3.0,2.0,976.0,,,4 Bedroom House in Rondebosch,Rondebosch
6,6,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107890205?plId=485356&plt=3,2019_11_20,7931100.0,3.0,4.0,2.0,,216.0,,3 Bedroom House in Rondebosch,Rondebosch
7,7,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108090386?plId=485213&plt=3,2019_11_20,3250000.0,3.0,2.0,1.0,,123.0,,3 Bedroom Apartment in Rondebosch,Rondebosch
8,8,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108134835?plId=484236&plt=3,2019_11_20,7600000.0,5.0,5.0,2.0,1742.0,,,5 Bedroom House in Rondebosch,Rondebosch
9,9,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108076174?plId=484235&plt=3,2019_11_20,8850000.0,5.0,4.0,2.0,795.0,,,5 Bedroom House in Rondebosch,Rondebosch
10,10,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107954460?plId=484234&plt=3,2019_11_20,2595000.0,2.0,2.0,1.0,,109.0,,2 Bedroom Apartment in Rondebosch,Rondebosch
11,11,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108109067?plId=483986&plt=3,2019_11_20,2400000.0,2.0,1.0,,,75.0,,2 Bedroom Apartment in Rondebosch,Rondebosch
12,12,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108107922?plId=483984&plt=3,2019_11_20,1950000.0,2.0,1.0,,,67.0,,2 Bedroom Apartment in Rondebosch,Rondebosch
13,13,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/106875347?plId=483987&plt=3,2019_11_20,1595000.0,1.0,1.0,,,46.0,,1 Bedroom Apartment in Rondebosch,Rondebosch
14,14,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108137296?plId=483898&plt=3,2019_11_20,4490000.0,3.0,2.0,2.0,350.0,,,3 Bedroom House in Rondebosch,Rondebosch
15,15,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108109572?plId=483899&plt=3,2019_11_20,4575000.0,5.0,4.0,1.0,486.0,,,5 Bedroom House in Rondebosch,Rondebosch
16,16,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/105672855?plId=483897&plt=3,2019_11_20,7490000.0,4.0,2.0,1.0,1350.0,,,4 Bedroom House in Rondebosch,Rondebosch
17,17,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108124378?plId=483225&plt=3,2019_11_20,1295000.0,1.0,1.0,,,38.0,,1 Bedroom Apartment in Rondebosch,Rondebosch
18,18,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107965433?plId=483660&plt=3,2019_11_20,2195000.0,3.0,1.0,,,87.0,,3 Bedroom Apartment in Rondebosch,Rondebosch
19,19,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108160986?plId=483407&plt=3,2019_11_20,6250000.0,3.0,2.5,2.0,807.0,,,3 Bedroom House in Rondebosch,Rondebosch
20,20,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108149395?plId=483225&plt=3,2019_11_20,1295000.0,1.0,1.0,,,38.0,,1 Bedroom Apartment in Rondebosch,Rondebosch
21,21,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/105756940?plId=483030&plt=3,2019_11_20,3300000.0,1.0,1.0,,,66.0,,1 Bedroom Apartment in Rondebosch,Rondebosch
22,22,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108131550?plId=486883&plt=2,2019_11_20,4500000.0,3.0,2.0,2.0,713.0,,,3 Bedroom House in Rondebosch,Rondebosch
23,23,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108131550?plId=486883&plt=2,2019_11_20,4500000.0,3.0,2.0,2.0,713.0,,,3 Bedroom House in Rondebosch,Rondebosch
24,24,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107837439?plId=484340&plt=2,2019_11_20,2495000.0,2.0,2.0,1.0,,89.0,,2 Bedroom Apartment in Rondebosch,Rondebosch
25,25,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108160967?plId=486322&plt=2,2019_11_20,1695000.0,1.0,1.0,1.0,,46.0,,1 Bedroom Apartment in Rondebosch,Rondebosch
26,26,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107577256?plId=483007&plt=3,2019_11_20,5995000.0,4.0,3.0,2.0,590.0,,,4 Bedroom House in Rondebosch,Rondebosch
27,27,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108009941?plId=487300&plt=2,2019_11_20,3950000.0,3.0,2.0,2.0,517.0,,,3 Bedroom House in Rondebosch,Rondebosch
28,28,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107837439?plId=484340&plt=2,2019_11_20,2495000.0,2.0,2.0,1.0,,89.0,,2 Bedroom Apartment in Rondebosch,Rondebosch
29,29,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/106543559?plId=486318&plt=2,2019_11_20,8750000.0,5.0,4.5,2.0,1022.0,,,5 Bedroom House in Rondebosch,Rondebosch
30,30,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107959864?plId=482812&plt=2,2019_11_20,3700000.0,3.0,2.0,2.0,427.0,,,3 Bedroom House in Rondebosch,Rondebosch
31,31,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/108122117?plId=486880&plt=2,2019_11_20,9450000.0,5.0,2.5,2.0,1230.0,,,5 Bedroom House in Rondebosch,Rondebosch
32,32,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/107154059?plId=484724&plt=2,2019_11_20,4225000.0,4.0,3.0,2.0,518.0,,,4 Bedroom House in Rondebosch,Rondebosch
