,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
0,0,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108162866?plId=483877&plt=2,2019_11_20,4999000.0,2.0,2.0,1.0,89.0,,,2 Bedroom Apartment in Sea Point,Sea Point
1,1,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108147636?plId=485214&plt=3,2019_11_20,2895000.0,2.0,1.0,1.0,,88.0,,2 Bedroom Apartment in Sea Point,Sea Point
2,2,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108124780?plId=484592&plt=3,2019_11_20,3395000.0,2.0,2.0,1.0,,71.0,,2 Bedroom Apartment in Sea Point,Sea Point
3,3,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108187076?plId=487392&plt=3,2019_11_20,4995000.0,2.0,1.0,,,,,2 Bedroom House in Sea Point,Sea Point
4,4,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/106782281?plId=487396&plt=3,2019_11_20,13000000.0,4.0,3.0,2.0,798.0,,,4 Bedroom House in Sea Point,Sea Point
5,5,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108188894?plId=486626&plt=3,2019_11_20,6895000.0,3.0,3.0,2.0,,140.0,,3 Bedroom Townhouse in Sea Point,Sea Point
6,6,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/106489967?plId=486580&plt=3,2019_11_20,5850000.0,2.0,2.0,,,97.0,,2 Bedroom Apartment in Sea Point,Sea Point
7,7,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/105556494?plId=486011&plt=3,2019_11_20,8895000.0,2.0,1.5,1.0,,150.0,,2 Bedroom Apartment in Sea Point,Sea Point
8,8,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108116335?plId=485768&plt=3,2019_11_20,8950000.0,3.0,2.0,2.0,,192.0,,3 Bedroom Apartment in Sea Point,Sea Point
9,9,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108034811?plId=485499&plt=3,2019_11_20,4950000.0,2.0,1.0,1.0,,77.0,,2 Bedroom Apartment in Sea Point,Sea Point
10,10,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108009539?plId=470853&plt=3,2019_11_20,6995000.0,3.0,2.0,,,170.0,,3 Bedroom Apartment in Sea Point,Sea Point
11,11,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108063520?plId=485489&plt=3,2019_11_20,3400000.0,2.0,1.0,,,82.0,,2 Bedroom Apartment in Sea Point,Sea Point
12,12,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108165038?plId=485475&plt=3,2019_11_20,8250000.0,3.0,2.0,,,139.0,,3 Bedroom Apartment in Sea Point,Sea Point
13,13,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108168481?plId=485033&plt=3,2019_11_20,7995000.0,3.0,3.0,,,181.0,,3 Bedroom Apartment in Sea Point,Sea Point
14,14,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108163985?plId=485030&plt=3,2019_11_20,3385000.0,2.0,2.0,,,93.0,,2 Bedroom Apartment in Sea Point,Sea Point
15,15,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107947701?plId=484898&plt=3,2019_11_20,4230000.0,2.0,2.0,,,95.0,,2 Bedroom Apartment in Sea Point,Sea Point
16,16,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107698951?plId=484816&plt=3,2019_11_20,5995000.0,2.0,2.0,1.0,,124.0,,2 Bedroom Apartment in Sea Point,Sea Point
17,17,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108096711?plId=484592&plt=3,2019_11_20,3395000.0,2.0,2.0,1.0,,71.0,,2 Bedroom Apartment in Sea Point,Sea Point
18,18,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108066167?plId=483786&plt=3,2019_11_20,7250000.0,3.0,2.5,2.0,,177.0,,3 Bedroom Apartment in Sea Point,Sea Point
19,19,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108066039?plId=483851&plt=3,2019_11_20,7250000.0,3.0,2.5,2.0,,177.0,,3 Bedroom Apartment in Sea Point,Sea Point
20,20,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107947032?plId=483848&plt=3,2019_11_20,2950000.0,2.0,1.0,1.0,,111.0,,2 Bedroom Apartment in Sea Point,Sea Point
21,21,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107946728?plId=483849&plt=3,2019_11_20,3295000.0,2.0,2.5,1.0,,116.0,,2 Bedroom Apartment in Sea Point,Sea Point
22,22,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108128658?plId=483825&plt=2,2019_11_20,7250000.0,3.0,2.5,2.0,294.0,,,3 Bedroom House in Sea Point,Sea Point
23,23,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107945859?plId=483850&plt=3,2019_11_20,2295000.0,1.0,1.0,1.0,,73.0,,1 Bedroom Apartment in Sea Point,Sea Point
24,24,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108082907?plId=483765&plt=3,2019_11_20,7250000.0,2.0,2.5,,,137.0,,2 Bedroom Apartment in Sea Point,Sea Point
25,25,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107812158?plId=483129&plt=3,2019_11_20,4995000.0,3.0,3.0,,,100.0,,3 Bedroom Apartment in Sea Point,Sea Point
26,26,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107212106?plId=483078&plt=3,2019_11_20,1950000.0,,1.0,,,42.0,,Apartment For Sale in Sea Point,Sea Point
27,27,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107411364?plId=483036&plt=3,2019_11_20,9320000.0,2.0,2.5,,,119.0,,2 Bedroom Apartment in Sea Point,Sea Point
28,28,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107351922?plId=483031&plt=3,2019_11_20,2907000.0,1.0,1.0,,,61.0,,1 Bedroom Apartment in Sea Point,Sea Point
29,29,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107890656?plId=482967&plt=3,2019_11_20,2199000.0,1.0,1.0,,,52.0,,1 Bedroom Apartment in Sea Point,Sea Point
30,30,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/108128658?plId=483825&plt=2,2019_11_20,7250000.0,3.0,2.5,2.0,294.0,,,3 Bedroom House in Sea Point,Sea Point
31,31,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/107936194?plId=485442&plt=2,2019_11_20,6995000.0,3.0,3.0,,,150.0,,3 Bedroom Apartment in Sea Point,Sea Point
