,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
0,0,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/107732610?plId=486305&plt=2,2019_11_20,2995000.0,4.0,3.5,,367.0,,,4 Bedroom House in Woodstock,Woodstock
1,1,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/108017634?plId=486570&plt=3,2019_11_20,2200000.0,1.0,1.0,1.0,,60.0,,1 Bedroom Apartment in Woodstock,Woodstock
2,2,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/107922994?plId=484244&plt=3,2019_11_20,2495000.0,2.0,2.0,1.0,,90.0,,2 Bedroom House in Woodstock,Woodstock
3,3,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/107540588?plId=483846&plt=3,2019_11_20,1850000.0,2.0,2.0,,,92.0,,2 Bedroom Apartment in Woodstock,Woodstock
4,4,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/107802852?plId=483609&plt=3,2019_11_20,2275000.0,2.0,1.0,,100.0,,,2 Bedroom House in Woodstock,Woodstock
5,5,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/107589916?plId=483608&plt=3,2019_11_20,2250000.0,2.0,1.0,,104.0,,,2 Bedroom House in Woodstock,Woodstock
6,6,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/107256792?plId=482957&plt=3,2019_11_20,2990000.0,3.0,1.5,,132.0,,,3 Bedroom House in Woodstock,Woodstock
7,7,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/107254908?plId=482972&plt=3,2019_11_20,1099756.0,,1.0,,,23.0,,Apartment For Sale in Woodstock,Woodstock
8,8,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/105840716?plId=482971&plt=3,2019_11_20,1690000.0,2.0,1.0,,,41.0,,2 Bedroom Apartment in Woodstock,Woodstock
9,9,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/105817360?plId=482969&plt=3,2019_11_20,1107900.0,,1.0,,,26.0,,Apartment For Sale in Woodstock,Woodstock
10,10,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/107732610?plId=486305&plt=2,2019_11_20,2995000.0,4.0,3.5,,367.0,,,4 Bedroom House in Woodstock,Woodstock
11,11,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/107569796?plId=486342&plt=2,2019_11_20,1485000.0,2.0,1.0,,151.0,,,2 Bedroom House in Woodstock,Woodstock
