,id,price,heading,link,make,model,odometer_km,year,colour,location,doors,fuel_consumption_lpkm,engine_power_max_kW,engine_size_l,engine_fuel_type,engine_fuel_tank_l,engine_transmission,performace_0_to_100_s,performace_speed_max_kmph,economy_fuel_consumption_lpkm,economy_fuel_range_km,economy_CO2_gpkm,safety_ABS,safety_EBD,safety_brake_assist,safety_driver_airbag,safety_passenger_airbag,safety_airbag_quantity,features_bluetooth,features_aircon,specs_doors,specs_seats,specs_kerb_weight,history_num_owners,options,description,img_link
0,0,54990.0,2012 TATA Indica 1.4 Le for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2012-TATA-Indica-1.4-Le-Western-Cape/5267659/"">
TATA Indica 1.4 Le </a>",TATA,TATA Indica,116894.0,2012.0,silver,western cape,,,55.0,1.4,p,37.0,m,,155.0,7.4,500.0,168.0,False,False,False,False,False,,False,False,5.0,5.0,1005.0,,,"This is a great runabout and ideal as a 2nd car, or student, even just great and economical transport.We sell with RWC..extras include a set of alloys and new tyres.Spare keys available.We can finance and assist with a trade in.Phone us now!",
1,1,54995.0,2008 Volkswagen Polo 1.4 Trendline for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2008-Volkswagen-Polo-1.4-Trendline-Western-Cape-Bellville/5449484/"">
Volkswagen Polo 1.4 Trendline </a>",Volkswagen,Volkswagen Polo,180000.0,2008.0,black,western cape,,,62.0,1.4,p,45.0,m,,176.0,6.9,,,True,True,True,True,True,2.0,True,True,5.0,5.0,1089.0,,,"Due to the age, kilometers and asking price of the vehicle in relation to the market value the vehicle is being sold in specific condition terms. Please inquire for more information.Terms and conditions apply, errors and omissions excepted. Please click (More ads from this seller) to view more vehicles for sale at AUTOSPOT or visit www.autospot.co.zaAUTOSPOT, 68 STRAND ROAD STIKLAND, BELLVILLE021 949 0002 OR 0861 668 622 TOLL FREEPAUL - 082 724 6711 (Available on WhatsApp)OOM PIET - 082 489 8368GAVIN - 082 979 3429 (Available on WhatsApp)FRANCOIS – 081 714 8760 (Available on WhatsApp)",
2,2,55995.0,2014 FAW V2 1.3 DLX 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2014-FAW-V2-1.3-DLX-5-Door-Western-Cape-Kuils-River/5408471/"">
FAW V2 1.3 DLX 5-Door </a>",FAW,FAW V2,75000.0,2014.0,silver,western cape,,,67.0,1.3,p,37.0,m,,166.0,6.5,569.0,155.0,True,True,False,True,True,2.0,False,True,5.0,4.0,981.0,,,CASH only - NO finance,
3,3,59900.0,2005 Renault Megane Ii 2.0t Sport 3dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name vehicle-list__vehicle-name_featured"" href=""/for-sale/used/2005-Renault-Megane-Ii-2.0t-Sport-3dr-Western-Cape-Kuils-River/4583499/"">
Renault Megane Ii 2.0t Sport 3dr </a>",Renault,Renault Megane,245000.0,2005.0,black,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"What a great performance vehicle! This vehicle is great, but as a result of age and mileage is sold with no certificate of roadworhtiness. Enquire about this vehicle NOW!",
4,4,59900.0,2012 Chevrolet Spark Lite Ls 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2012-Chevrolet-Spark-Lite-Ls-5dr-Western-Cape-Milnerton/5141023/"">
Chevrolet Spark Lite Ls 5dr </a>",Chevrolet,Chevrolet Spark,123468.0,2012.0,silver,western cape,,,49.0,1.0,p,35.0,m,,154.0,5.8,603.0,135.0,False,False,False,True,False,1.0,False,True,5.0,4.0,830.0,,,"Estimated monthly payment is R 1 230 over 60 months with a 10% deposit of R 5 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
5,5,59950.0,2001 Volkswagen Golf One of a kind Performance Vehicle for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2001-Volkswagen-Golf-One-of-a-kind-Performance-Vehicle-Western-Cape-Milnerton/4844217/"">
Volkswagen Golf One of a kind Performance Veh </a>",Volkswagen,Volkswagen Golf,165000.0,2001.0,grey,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"Selling an enthusiast's project car - VW Golf 4 GTI This vehicle has a big boost GT28 turbo, upgraded/bigger injectors , upsized Intercooler upgrades, boost pipe upgrades, Spitronix management system ,Freeflow exhaust system, runs Methonol and has an upgraded VR6 clutch kit fitted.It drives very well and last dyna puts out 241kw.Vehicle had a full respray in the original colour as per the picture less than 6 months ago so really looks the part too.Please do not contact if you looking for a brand new Golf 4 GTI with this type of power and performance cause things like a non working air con or slightly creased leather interior do not bother anybody with a car of this level of power etc for this priceA give away for this price.Please don’t mail offering swaps or stupid cash offers. No joy rides will be allowed and cash deal only.Call on 021 555 4752 or 076 7584542 to arrange a viewing",
6,6,59950.0,2005 Nissan Micra 1.4 Acenta + 5dr (d64) for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2005-Nissan-Micra-1.4-Acenta-5dr-d64-Western-Cape-George/5400475/"">
Nissan Micra 1.4 Acenta + 5dr (d64) </a>",Nissan,Nissan Micra,185000.0,2005.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,,
7,7,59995.0,2005 Honda Jazz 1.4i Dsi for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2005-Honda-Jazz-1.4i-Dsi-Western-Cape-Cape-Town/4287186/"">
Honda Jazz 1.4i Dsi </a>",Honda,Honda Jazz,191000.0,2005.0,black,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"This is a very reliable vehicle and drives very good , the car is in good condition inside and out. all paperwork in order and licence upto date , we have over 130 cars available for you to choose from . we also offer IN-HOUSE finance where you get to PAY DIRECTLY TO US with no banks involved (BANK FINANCE ALSO AVAILABLE) for more information contact : AMIER 0662979650 whatsapp friendly GEO 082 269 9882 OFFICE 021 465 2675",
8,8,59995.0,2008 Peugeot 308 1.6XT for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2008-Peugeot-308-1.6XT-Western-Cape-Parow/5161883/"">
Peugeot 308 1.6XT </a>",Peugeot,Peugeot 308,190000.0,2008.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,Peugeot 308 1.6 XTTrade-ins welcomeFinance availableNationwide deliveryFOR APPLICATION PLEASE BRING OR EMAIL THE FOLLOWING DOCUMENTS:# Copy of ID & Drivers License# 3 Months Bank Statements# 3 Latest PayslipsEMAIL: stuart@autohotspot.co.zaWEBSITE: www.autohotspot.co.za,
9,9,59995.0,2002 Mazda 323 130 Sting for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2002-Mazda-323-130-Sting-Western-Cape-Goodwood/5440998/"">
Mazda 323 130 Sting </a>",Mazda,Mazda 323,123000.0,2002.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"2002 Mazda 323 with ONLY 120000kmsNeat Car, 1 Owner from NewFull service history with bookspower steeringcentral lockingalarmgear lockmag wheelsSpare KeysSelling at R59995Call or Whatsapp: Sam - 081 707 3443 or Bibi 082 755 6298",
10,10,64990.0,2012 TATA Indica Vista 1.4 Ini Ego for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2012-TATA-Indica-Vista-1.4-Ini-Ego-Western-Cape-Brackenfell/5102599/"">
TATA Indica Vista 1.4 Ini Ego </a>",TATA,TATA Indica,46311.0,2012.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"2012 Tata Indica Vista 1.4 Ini EgoGood Condition, Aircon, Radio & Cd.Trade-Ins Welcome, Finance Available.BESSIE BESTER MOTORS.co.zaFor Good Clean Used VehiclesOld Paarl Road BrackenfellTel:021-982 2991GPS Coordinates33.8724° S, 18.6991° ERMI / MIO / IDA MembersOn Average we have 60+ VehiclesCars / Bakkies / SUV’s / Buses / 4x4’s / Bikes We Buy / We Sell / We FinancePrivate 2 Private Auto FinanceSell your Car on consignmentTrade in’s Always WelcomeNo Deposit Deals PossibleExtended WarrantiesInsurance QuotesBank ApprovedFSP 28260We are People’s People / Open Door PolicyOwner Operated & InvolvementNo Stories.No Hidden AgendasWe want to put you in your Dream CarEffortless with a Win / Win OutcomeTalk to us We Want to Do DealsStriving to be Your Dealer of ChoiceGillmore Rhode:072-271 7255Albie Kotze :066-271 4674Robin Fester :060-661 6885Bessie Bester :082-659 9177Heinie Lombard:083-234 4044***STOCK URGENTLY REQUIRED***We Pay that Extra $$$ if it’s CLEAN!!!",
11,11,64990.0,2010 Hyundai Atos 1.1 Gls for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2010-Hyundai-Atos-1.1-Gls-Western-Cape-Brackenfell/5330623/"">
Hyundai Atos 1.1 Gls </a>",Hyundai,Hyundai Atos,140675.0,2010.0,silver,western cape,,,45.0,1.1,p,35.0,m,,147.0,6.2,565.0,147.0,False,False,False,False,False,,False,True,5.0,4.0,797.0,,,"2010 Hyundai Atos 1.1 Gls Prime Excellent Condition, Service History, Aircon, E/Windows,Radio & Cd. Trade-Ins Welcome, Finance Available.BESSIE BESTER MOTORS.co.zaFor Good Clean Used VehiclesOld Paarl Road BrackenfellTel:021-982 2991GPS Coordinates33.8724° S, 18.6991° ERMI / MIO / IDA MembersOn Average we have 60+ VehiclesCars / Bakkies / SUV’s / Buses / 4x4’s / Bikes We Buy / We Sell / We FinancePrivate 2 Private Auto FinanceSell your Car on consignmentTrade in’s Always WelcomeNo Deposit Deals PossibleExtended WarrantiesInsurance QuotesBank ApprovedFSP 28260We are People’s People / Open Door PolicyOwner Operated & InvolvementNo Stories.No Hidden AgendasWe want to put you in your Dream CarEffortless with a Win / Win OutcomeTalk to us We Want to Do DealsStriving to be Your Dealer of ChoiceGillmore Rhode:072-271 7255Albie Kotze :066-271 4674Robin Fester :060-661 6885Bessie Bester :082-659 9177Heinie Lombard:083-234 4044***STOCK URGENTLY REQUIRED***We Pay that Extra $$$ if it’s CLEAN!!!",
12,12,64995.0,2010 Volvo C30 1.6 for sale  in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2010-Volvo-C30-1.6-Western-Cape-Cape-Town/5142037/"">
Volvo C30 1.6 </a>",Volvo,Volvo C30,320000.0,2010.0,silver,western cape,,,74.0,1.6,p,55.0,m,,185.0,7.0,,167.0,True,True,True,True,True,6.0,True,True,3.0,4.0,1289.0,,,"This is a very reliable vehicle and drives very well , it is in a good condition inside and out. all paperwork in order and licence upto date , we have over 130 cars available for you to choose from . we also offer IN-HOUSE finance where you get to PAY DIRECTLY TO US with no banks involved (BANK FINANCE ALSO AVAILABLE)AMIER 0662979650OFFICE 0214652675",
13,13,64995.0,2006 Ford Fiesta 1.4i Ambiente 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2006-Ford-Fiesta-1.4i-Ambiente-5dr-Western-Cape/5337359/"">
Ford Fiesta 1.4i Ambiente 5dr </a>",Ford,Ford Fiesta,171000.0,2006.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"WE OFFER VEHICLE FINANCE-180 VOORTREKKER ROAD-GOODWOOD-AIRCON,POWER STEERING,AIRBAGS,RADIO/CD,FULL SERVICE HISTORY,WE DO BLACKLISTED FINANCE AS WELLCONTACT:ANGELO 076 437 8861SAM 076 537 6229",
14,14,65000.0,2005 Volkswagen Polo 2.0 Highline for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2005-Volkswagen-Polo-2.0-Highline-Western-Cape-Wynberg/5413473/"">
Volkswagen Polo 2.0 Highline </a>",Volkswagen,Volkswagen Polo,211079.0,2005.0,silver,western cape,,,85.0,2.0,p,45.0,m,,193.0,7.6,,,True,True,True,True,True,2.0,True,True,5.0,5.0,1221.0,,,"THIS CAR IS SOLD ""AS IS""NO FINANCE AVAILABLE,CASH DEAL ONLY. Contact:Kenny 0836599000 Tony 0721474085 o/h 0217616757Driving Force360 Main Road, Wynberg021 761 6757www.drivingforce.biz",
15,15,69900.0,2016 TATA Indica Vista 1.4 INI Bounce for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2016-TATA-Indica-Vista-1.4-INI-Bounce-Western-Cape-Tygervalley/5264571/"">
TATA Indica Vista 1.4 INI Bounce </a>",TATA,TATA Indica,99812.0,2016.0,infinity blacktat912,western cape,,,55.0,1.4,p,44.0,m,,150.0,6.7,657.0,159.0,False,False,False,False,False,,False,True,5.0,5.0,1035.0,,,"Estimated monthly payment is R 1 430 over 60 months with a 10% deposit of R 6 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
