,Unnamed: 0,id,price,heading,link,make,model,odometer_km,year,colour,location,engine_power_max_kW,engine_size_l,engine_fuel_type,engine_fuel_tank_l,engine_transmission,performace_0_to_100_s,performace_speed_max_kmph,economy_fuel_consumption_lpkm,economy_fuel_range_km,economy_CO2_gpkm,safety_ABS,safety_EBD,safety_brake_assist,safety_driver_airbag,safety_passenger_airbag,safety_airbag_quantity,features_bluetooth,features_aircon,specs_doors,specs_seats,specs_kerb_weight,history_num_owners,options,description,img_link
0,0,0,54990.0,2012 TATA Indica 1.4 Le for sale in Western Cape,www.cars.co.za/for-sale/used/2012-TATA-Indica-1.4-Le-Western-Cape/5267659/,tata,tata indica,116894.0,2012.0,silver,western cape,55.0,1.4,p,37.0,m,12.8,155.0,7.4,500.0,168.0,False,False,False,False,False,,False,False,5.0,5.0,1005.0,,"
Aircon, Radio, Full service record ","This is a great runabout and ideal as a 2nd car, or student, even just great and economical transport.We sell with RWC..extras include a set of alloys and new tyres.Spare keys available.We can finance and assist with a trade in.Phone us now!",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5267659.jpg?v=3523667406
1,1,1,54995.0,2008 Volkswagen Polo 1.4 Trendline for sale in Western Cape,www.cars.co.za/for-sale/used/2008-Volkswagen-Polo-1.4-Trendline-Western-Cape-Bellville/5449484/,volkswagen,volkswagen polo,180000.0,2008.0,black,western cape,62.0,1.4,p,45.0,m,12.4,176.0,6.9,,,True,True,True,True,True,2.0,True,True,5.0,5.0,1089.0,,"
ABS, Air bags, Sunroof, Radio ","Vehicle being sold in specific condition due to age and kilometres.  Please enquire for more details.Terms and conditions apply, errors and omissions excepted. Please click (More ads from this seller) to view more vehicles for sale at AUTOSPOT or visit www.autospot.co.zaAUTOSPOT, 68 STRAND ROAD STIKLAND, BELLVILLE021 949 0002 OR 0861 668 622 TOLL FREEPAUL - 082 724 6711 (Available on WhatsApp)OOM PIET - 082 489 8368GAVIN - 082 979 3429 (Available on WhatsApp)FRANCOIS – 081 714 8760 (Available on WhatsApp)",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5449484.jpg?v=1129440812
2,4,4,59900.0,2012 Chevrolet Spark Lite Ls 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2012-Chevrolet-Spark-Lite-Ls-5dr-Western-Cape-Milnerton/5141023/,chevrolet,chevrolet spark,123468.0,2012.0,silver,western cape,49.0,1.0,p,35.0,m,15.4,154.0,5.8,603.0,135.0,False,False,False,True,False,1.0,False,True,5.0,4.0,830.0,,"
-
","Estimated monthly payment is R 1 230 over 60 months with a 10% deposit of R 5 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5141023.jpg?v=2340526889
3,11,11,64990.0,2010 Hyundai Atos 1.1 Gls for sale in Western Cape,www.cars.co.za/for-sale/used/2010-Hyundai-Atos-1.1-Gls-Western-Cape-Brackenfell/5330623/,hyundai,hyundai atos,140675.0,2010.0,silver,western cape,45.0,1.1,p,35.0,m,15.0,147.0,6.2,565.0,147.0,False,False,False,False,False,,False,True,5.0,4.0,797.0,,"
Aircon, Electric Windows, Radio ","2010 Hyundai Atos 1.1 Gls Prime Excellent Condition, Service History, Aircon, E/Windows,Radio & Cd. Trade-Ins Welcome, Finance Available.BESSIE BESTER MOTORS.co.zaFor Good Clean Used VehiclesOld Paarl Road BrackenfellTel:021-982 2991GPS Coordinates33.8724° S, 18.6991° ERMI / MIO / IDA MembersOn Average we have 60+ VehiclesCars / Bakkies / SUV’s / Buses / 4x4’s / Bikes We Buy / We Sell / We FinancePrivate 2 Private Auto FinanceSell your Car on consignmentTrade in’s Always WelcomeNo Deposit Deals PossibleExtended WarrantiesInsurance QuotesBank ApprovedFSP 28260We are People’s People / Open Door PolicyOwner Operated & InvolvementNo Stories.No Hidden AgendasWe want to put you in your Dream CarEffortless with a Win / Win OutcomeTalk to us We Want to Do DealsStriving to be Your Dealer of ChoiceGillmore Rhode:072-271 7255Albie Kotze :066-271 4674Robin Fester :060-661 6885Bessie Bester :082-659 9177Heinie Lombard:083-234 4044***STOCK URGENTLY REQUIRED***We Pay that Extra $$$ if it’s CLEAN!!!",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5330623.jpg?v=1188559366
4,12,12,64995.0,2010 Volvo C30 1.6 for sale in Western Cape,www.cars.co.za/for-sale/used/2010-Volvo-C30-1.6-Western-Cape-Cape-Town/5142037/,volvo,volvo c30,320000.0,2010.0,silver,western cape,74.0,1.6,p,55.0,m,11.8,185.0,7.0,,167.0,True,True,True,True,True,6.0,True,True,3.0,4.0,1289.0,,"
Radio, Air bags, Electric Windows, Leather seats, Climate control, Alarm, Cruise control, Aircon, ABS ","This is a very reliable vehicle and drives very well , it is in a good condition inside and out. all paperwork in order and licence upto date , we have over 130 cars available for you to choose from . we also offer IN-HOUSE finance where you get to PAY DIRECTLY TO US with no banks involved (BANK FINANCE ALSO AVAILABLE)AMIER 0662979650OFFICE 0214652675",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5142037.jpg?v=2900607489
5,14,14,60000.0,2005 Volkswagen Polo 2.0 Highline for sale in Western Cape,www.cars.co.za/for-sale/used/2005-Volkswagen-Polo-2.0-Highline-Western-Cape-Wynberg/5413473/,volkswagen,volkswagen polo,211079.0,2005.0,silver,western cape,85.0,2.0,p,45.0,m,9.8,193.0,7.6,,,True,True,True,True,True,2.0,True,True,5.0,5.0,1221.0,,"
Air Conditioning,Power Steering,Radio/CD,Towbar ","THIS CAR IS SOLD ""AS IS""NO FINANCE AVAILABLE,CASH DEAL ONLY. Contact:Kenny 0836599000 Tony 0721474085 o/h 0217616757Driving Force360 Main Road, Wynberg021 761 6757www.drivingforce.biz",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5413473.jpg?v=1805005301
6,15,15,69900.0,2016 TATA Indica Vista 1.4 INI Bounce for sale in Western Cape,www.cars.co.za/for-sale/used/2016-TATA-Indica-Vista-1.4-INI-Bounce-Western-Cape-Tygervalley/5264571/,tata,tata indica,99812.0,2016.0,infinity blacktat912,western cape,55.0,1.4,p,44.0,m,14.0,150.0,6.7,657.0,159.0,False,False,False,False,False,,False,True,5.0,5.0,1035.0,,"
Air Conditioner , Airbags , Power Steering , Central Locking , Isofix rear seats , Height adjustable steering , Emergency Brake Assist (EBA) , CD/Radio , Anti-Lock Braking System , Steel Wheels , Cloth Seats ","Estimated monthly payment is R 1 430 over 60 months with a 10% deposit of R 6 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5264571.jpg?v=420683209
7,18,18,69900.0,2010 Chevrolet Spark 1.2 Ls 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2010-Chevrolet-Spark-1.2-Ls-5dr-Western-Cape-Malmesbury/5446698/,chevrolet,chevrolet spark,80690.0,2010.0,silver,western cape,60.0,1.2,p,35.0,m,13.3,164.0,5.4,648.0,129.0,True,True,False,True,True,2.0,False,True,5.0,4.0,970.0,,"
Air Conditioner, Airbag - Driver, Onboard Computer, Radio/CD, Radio/USB, Rear Window De-mister, ",,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5446698.jpg?v=4204416588
8,19,19,69900.0,2010 Hyundai Atos 1.1 Gls for sale in Western Cape,www.cars.co.za/for-sale/used/2010-Hyundai-Atos-1.1-Gls-Western-Cape-Somerset-West/5447776/,hyundai,hyundai atos,75000.0,2010.0,silver,western cape,45.0,1.1,p,35.0,m,15.0,147.0,6.2,565.0,147.0,False,False,False,False,False,,False,True,5.0,4.0,797.0,,"
Radio/AUX, Front Electric Windows, ",Peace of mind with a ROLA certified mechanical check / Nationwide delivery / Finance Available / Trade-ins welcome / Price excludes Service and Delivery Fees,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5447776.jpg?v=3721674903
9,20,20,105000.0,2018 TATA Indica Vista 1.4 Ignis for sale in Western Cape,www.cars.co.za/for-sale/used/2018-TATA-Indica-Vista-1.4-Ignis-Western-Cape-Goodwood/4878159/,tata,tata indica,17250.0,2018.0,black,western cape,66.0,1.4,p,44.0,m,13.5,155.0,6.7,657.0,157.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1055.0,,"
Full Service History ","WELL LOOKED AFTER ONE OWNER VEHICLE! SERVICE PLAN 3YEARS/75000KM, SPARE KEYVehicle Location: (Western Cape)TRADE-IN'S Welcome!NATIONWIDE Delivery!FINANCE available through all Major Banks! OPTIONAL: Extended Warranty/ Service Plan/ Competitive Comprehensive Insurance!PLEASE NOTE: The Selling Price does not include Administration Fees & License & Reg FeesINTERESTED IN THIS VEHICLE?Best Price For My Car 021 976 3399Warren Lawson 082 925 7863 | Chris Johnson 073 996 6453 | Jacques Rhode 084 624 9074 | Lau Fullard 074 432 8610 | Charl du Preez 084 296 0551 | Casper Badenhorst 076 951 7962",
