    date    | count 
------------+-------
 2019-12-31 |   534
 2020-01-01 |   542
 2020-01-12 |   527
 2020-01-13 |   527
 2020-01-18 | 10521
 2020-01-19 | 10496
 2020-01-20 | 10490
 2020-01-21 | 10520
 2020-01-22 | 10607
 2020-01-23 | 10663
 2020-01-24 | 10674
 2020-01-25 | 10584
 2020-01-26 | 10548
 2020-01-27 | 10554
 2020-01-28 | 10558
 2020-01-29 | 10529
 2020-01-30 | 10488
 2020-02-04 | 10510
 2020-02-05 | 10650
 2020-02-06 | 10518
 2020-02-09 | 10530
 2020-02-10 | 10529
 2020-02-11 | 10636
 2020-02-12 | 10707
 2020-02-13 | 10797
 2020-02-14 | 10865
 2020-02-15 | 10860
 2020-02-16 | 10833
(28 rows)

