,website_id,price,heading,link,img_link,make,model,odometer_km,year,date_accessed,time_accessed,colours,area,dealer,dealer_location,dealer_link,engine_power_max_kW,engine_size_l,engine_fuel_type,engine_fuel_tank_l,engine_transmission,performace_0_to_100_s,performace_speed_max_kmph,economy_fuel_consumption_lpkm,economy_fuel_range_km,economy_CO2_gpkm,safety_ABS,safety_EBD,safety_brake_assist,safety_driver_airbag,safety_passenger_airbag,safety_airbag_quantity,features_bluetooth,features_aircon,specs_doors,specs_seats,specs_kerb_weight,options,description,specs_central_locking
0,5267659,54990.0,2012 TATA Indica 1.4 Le for sale in Western Cape,https://www.cars.co.za/for-sale/used/2012-TATA-Indica-1.4-Le-Western-Cape/5267659/,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5267659.jpg?v=3523667406,tata,tata indica,116894.0,2012.0,2019_12_21,16:56:25,silver,western cape,Knysna Waterfront Motors,", Western Cape",https://www.cars.co.za/groups/Individual-Dealers/Knysna-Waterfront-Motors/2712/,55.0,1.4,p,37.0,m,12.8,155.0,7.4,500.0,168.0,False,False,False,False,False,,False,False,5.0,5.0,1005.0,"
Aircon, Radio, Full service record ","This is a great runabout and ideal as a 2nd car, or student, even just great and economical transport.We sell with RWC..extras include a set of alloys and new tyres.Spare keys available.We can finance and assist with a trade in.Phone us now!",
1,4583499,59900.0,2005 Renault Megane Ii 2.0t Sport 3dr for sale in Western Cape,https://www.cars.co.za/for-sale/used/2005-Renault-Megane-Ii-2.0t-Sport-3dr-Western-Cape-Kuils-River/4583499/,,renault,renault megane,245000.0,2005.0,2019_12_21,16:56:25,black,western cape,Wingfield Motors Kuilsriver,"Kuils River, Western Cape",https://www.cars.co.za/groups/Individual-Dealers/Wingfield-Motors-Kuilsriver/2225/,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,"
ABS Brakes,Air Conditioning,Alarm,Alloy Wheels,Central Locking,Electric Windows,Front Electric Windows,Immobilizer ","What a great performance vehicle! This vehicle is great, but as a result of age and mileage is sold with no certificate of roadworhtiness. Enquire about this vehicle NOW!",
2,5538068,59900.0,2009 Citroen C2 1.4i Vtr for sale in Western Cape,https://www.cars.co.za/for-sale/used/2009-Citroen-C2-1.4i-Vtr-Western-Cape-Paarl/5538068/,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5538068.jpg?v=3725018907,citroen,citroen c2,180000.0,2009.0,2019_12_21,16:56:26,black,western cape,LJR Auto,,https://www.cars.co.za/groups/Individual-Dealers/LJR-Auto/4149/,55.0,1.4,p,41.0,m,12.2,169.0,6.0,,,True,True,True,True,True,4.0,False,True,3.0,4.0,932.0,"
-
",This sale is handled by Konrad Plse contact me on 0832755626 or konrad@ljrauto.co.zaI AA Dekra roadworthy Finance available Trade-ins welcome FSHVery Neatlow kilos,✔
3,4287186,59995.0,2005 Honda Jazz 1.4i Dsi for sale in Western Cape,https://www.cars.co.za/for-sale/used/2005-Honda-Jazz-1.4i-Dsi-Western-Cape-Cape-Town/4287186/,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/4287186.jpg?v=3165663245,honda,honda jazz,191000.0,2005.0,2019_12_21,16:56:26,black,western cape,Dart Motors,"Cape Town, Western Cape",https://www.cars.co.za/groups/Individual-Dealers/Dart-Motors/3172/,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,"
Air bags, ABS, Aircon ","This is a very reliable vehicle and drives very good , the car is in good condition inside and out. all paperwork in order and licence upto date , we have over 130 cars available for you to choose from . we also offer IN-HOUSE finance where you get to PAY DIRECTLY TO US with no banks involved (BANK FINANCE ALSO AVAILABLE) for more information contact : AMIER 0662979650 whatsapp friendly GEO 082 269 9882 OFFICE 021 465 2675",
4,5563007,59995.0,2002 Mazda 323 130 Sting for sale in Western Cape,https://www.cars.co.za/for-sale/used/2002-Mazda-323-130-Sting-Western-Cape-Goodwood/5563007/,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5563007.jpg?v=4118996047,mazda,mazda 323,120000.0,2002.0,2019_12_21,16:56:26,silver,western cape,Prestige Autos Goodwood,"Goodwood, Western Cape",https://www.cars.co.za/groups/Individual-Dealers/Prestige-Autos-Goodwood/3967/,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,"
Full service record ",PLEASE Visit our Webiste for more vehicles: WWW.PRESTIGEAUTOS.CO.ZA2002 Mazda 323 with ONLY 120000kmsNeat CarFull Service HistoryOne Owner from NewPowersteeringCentral LockingSpare KeysSelling at R59995Call or Whatsapp: Sam - 081 707 3443 or Bibi 082 755 6298,
5,5102599,64990.0,2012 TATA Indica Vista 1.4 Ini Ego for sale in Western Cape,https://www.cars.co.za/for-sale/used/2012-TATA-Indica-Vista-1.4-Ini-Ego-Western-Cape-Brackenfell/5102599/,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5102599.jpg?v=3889260506,tata,tata indica,46311.0,2012.0,2019_12_21,16:56:26,silver,western cape,Bessie Bester Motors,"Brackenfell, Western Cape",https://www.cars.co.za/groups/Individual-Dealers/Bessie-Bester-Motors/3330/,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,"
Aircon, Air bags, Radio ","2012 Tata Indica Vista 1.4 Ini EgoGood Condition, Aircon, Radio & Cd.Trade-Ins Welcome, Finance Available.DON’T DELAY.CALL US TODAY FOR DETAILS.FINANCE * INSURANCE * TRADE INS WARRANTIES * SMASH & GRAB BANK APPROVED DEALERSHIPSAME DAY DELIVERY POSSIBLENO DEPOSIT DEALS POSSIBLERMI * MIOSA * IDA MEMBERSOVER 350 VEHICLES DELIVERED IN 2019LET US SHOW YOU WHY THEY CHOSE USwww.bessiebestermotors.co.zaOld Paarl Road BrackenfellGPS:33.8724°S,18.6991°ETel:021-982 2991Cell:082-659 9177",
6,5330623,64990.0,2010 Hyundai Atos 1.1 Gls for sale in Western Cape,https://www.cars.co.za/for-sale/used/2010-Hyundai-Atos-1.1-Gls-Western-Cape-Brackenfell/5330623/,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5330623.jpg?v=1188559366,hyundai,hyundai atos,140675.0,2010.0,2019_12_21,16:56:27,silver,western cape,Bessie Bester Motors,"Brackenfell, Western Cape",https://www.cars.co.za/groups/Individual-Dealers/Bessie-Bester-Motors/3330/,45.0,1.1,p,35.0,m,15.0,147.0,6.2,565.0,147.0,False,False,False,False,False,,False,True,5.0,4.0,797.0,"
Aircon, Electric Windows, Radio ","2010 Hyundai Atos 1.1 Gls Prime Excellent Condition, Service History, Aircon, E/Windows,Radio & Cd. Trade-Ins Welcome, Finance Available.DON’T DELAY.CALL US TODAY FOR DETAILS.FINANCE * INSURANCE * TRADE INS WARRANTIES * SMASH & GRAB BANK APPROVED DEALERSHIPSAME DAY DELIVERY POSSIBLENO DEPOSIT DEALS POSSIBLERMI * MIOSA * IDA MEMBERSOVER 350 VEHICLES DELIVERED IN 2019LET US SHOW YOU WHY THEY CHOSE USwww.bessiebestermotors.co.zaOld Paarl Road BrackenfellGPS:33.8724°S,18.6991°ETel:021-982 2991Cell:082-659 9177",manual
7,5142037,64995.0,2010 Volvo C30 1.6 for sale in Western Cape,https://www.cars.co.za/for-sale/used/2010-Volvo-C30-1.6-Western-Cape-Cape-Town/5142037/,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5142037.jpg?v=2900607489,volvo,volvo c30,320000.0,2010.0,2019_12_21,16:56:27,silver,western cape,Dart Motors,"Cape Town, Western Cape",https://www.cars.co.za/groups/Individual-Dealers/Dart-Motors/3172/,74.0,1.6,p,55.0,m,11.8,185.0,7.0,,167.0,True,True,True,True,True,6.0,True,True,3.0,4.0,1289.0,"
Radio, Air bags, Electric Windows, Leather seats, Climate control, Alarm, Cruise control, Aircon, ABS ","This is a very reliable vehicle and drives very well , it is in a good condition inside and out. all paperwork in order and licence upto date , we have over 130 cars available for you to choose from . we also offer IN-HOUSE finance where you get to PAY DIRECTLY TO US with no banks involved (BANK FINANCE ALSO AVAILABLE)AMIER 0662979650OFFICE 0214652675",remote (opt keyless)
8,5337359,64995.0,2006 Ford Fiesta 1.4i Ambiente 5dr for sale in Western Cape,https://www.cars.co.za/for-sale/used/2006-Ford-Fiesta-1.4i-Ambiente-5dr-Western-Cape/5337359/,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5337359.jpg?v=3023074826,ford,ford fiesta,171000.0,2006.0,2019_12_21,16:56:28,silver,western cape,Goodluck Wholesale Cars,", Western Cape",https://www.cars.co.za/groups/Individual-Dealers/Goodluck-Wholesale-Cars/5568/,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,"
Full service record, Radio ","WE OFFER VEHICLE FINANCE-180 VOORTREKKER ROAD-GOODWOOD-AIRCON,POWER STEERING,AIRBAGS,RADIO/CD,FULL SERVICE HISTORY,WE DO BLACKLISTED FINANCE AS WELLCONTACT:ANGELO 076 437 8861SAM 076 537 6229",
9,5540742,64995.0,2006 Opel Corsa 1.6 Sport 5dr for sale in Western Cape,https://www.cars.co.za/for-sale/used/2006-Opel-Corsa-1.6-Sport-5dr-Western-Cape-Milnerton/5540742/,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5540742.jpg?v=2803842129,opel,opel corsa,168000.0,2006.0,2019_12_21,16:56:28,black,western cape,The Car Warehouse,"Milnerton, Western Cape",https://www.cars.co.za/groups/Individual-Dealers/The-Car-Warehouse/5234/,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,"
-
","Still in great condition, If you're in the market for a cheap run around vehicle, central locking, electric windows, Aircon. look no further, this is the one for you. Don't hesitate, get down to our showroom now to view and test drive.2yr Prestige unlimited kilometer extended warranties and Finance available at all major banks. Trade ins welcome. Buy with confidence Contact: Ryan - 072 476 9462ryan@thecarewarehouse.co.zaAddress: Unit 5, 29 Montague DriveMontague Gardens7441www.thecarwarehouse.co.za",
